,0
1201,"The 2000 Minnesota Twins was the last Twins team in a consecutive string record of eight losing seasons.  The team finished with a 69–93 record, with weak hitting but slightly better pitching.  One would not have suspected that this team, led by Manager Tom Kelly, would contain the nucleus of Ron Gardenhire's team that will reach the postseason only two years later."
1202,"John William Cameron (2 October 1841 – 28 December 1896) was an English brewer who owned Camerons Brewery of Hartlepool, County Durham."
1203,"Zahra Marwa is a Lebanese Poet and journalist. She has three anthologies of poems, these are; “A Ready Paradise”, “Residence in Prelude” and “Life in Installments”. Moreover, Marwa is a member in Shahriad Cultural Group, a salon that host Lebanese and Arab poets in Hamra Street every Tuesday. Furthermore, some of her poems had translated into German. The Lebanese poet and critic, Michal Saade, wrote a book about her poems titled “Zahra Marwa in her works “A Ready Paradise“ and “Residence in Prelude”: a critical constructive  study”. Every now and then, Marwa translates famous poets’ works from French to Arabic."
1204,"Christopher A. Gregory is an Australian economic anthropologist. He is based at Australian National University (ANU) in Canberra, and has also taught at University of Manchester- where he was made Professor of Political and Economic Anthropology. He studied Economics at University of New South Wales and ANU before pursuing anthropology, following a period in Papua New Guinea. His main research has been in Papua New Guinea and Bastar District, central India, and he also co-authored a research methods manual for economic anthropology, 'Observing the Economy', with Jon Altman."
1205,Fernand Steens was a Belgian wrestler. He competed in the men's Greco-Roman lightweight at the 1908 Summer Olympics.
1206,"There have been four baronetcies created for persons with the surname Montgomery, one in the Baronetage of Nova Scotia, one in the Baronetage of Great Britain and two in the Baronetage of the United Kingdom. One creation is extant as of 2011.
The Montgomery baronetcy, of Skelmorly, was created in the Baronetage of Nova Scotia in January 1628 for Robert Montgomery. The sixth Baronet was one of the original Scottish representatives to the 1st Parliament of Great Britain. The title became dormant on his death in 1735.

The Montgomery baronetcy, of Magbie Hill in the County of Peebles, was created in the Baronetage of Great Britain on 28 May 1774 for William Montgomery. The second Baronet represented Peeblesshire in Parliament. The title became extinct on his death in 1831.
The Montgomery baronetcy, of Stanhope in the County of Peebles, was created in the Baronetage of the United Kingdom on 16 July 1801 for the Scottish lawyer and politician James Montgomery. The second Baronet represented Peeblesshire in Parliament. The third Baronet represented both Peebles and Peebles and Selkirk in Parliament. He assumed the additional surname of Graham. The seventh Baronet was Lord-Lieutenant of Kinross-shire. He assumed the surname of Purvis-Russell-Montgomery in 1906 and Purvis-Russell-Hamilton-Montgomery in 1933. The eighth and ninth Baronet have used the surname Montgomery only. The ninth Baronet was Lord-Lieutenant of Perth and Kinross.
The Montgomery baronetcy, of The Hall in the County of Donegal, was created in the Baronetage of the United Kingdom on 3 October 1808 for Conyngham Montgomery, Member of Parliament for Mitchell, Donegal and Yarmouth. The second Baronet was sworn of the Privy Council in 1876. The title became extinct on the death of the fifth Baronet in 1939."
1207,"The Teda language, also known as Tedaga, is a Nilo-Saharan language spoken by the Teda, a northern subgroup of the Toubou people that inhabits southern Libya, northern Chad and eastern Niger.
Along with the more populous southern dialect of Daza, the northern Teda dialect constitutes one of the two varieties of Tebu. However, Teda is also sometimes used for Tebu in general."
1208,"Tozer is a surname commonly believed to have originated in Devon, South West England. It is a reference to the occupation of carding of wool which was originally performed by the use of teasels (Latin carduus), via the Middle English word tōsen, to tease [out]. The surname has variants, including the lesser-known ""Tozier""."
1209,"The Socialist Party of Washington was the Washington state section of the Socialist Party of America (SPA), an organization originally established as a federation of semi-autonomous state organizations.
During the 1910s, the Socialist Party of Washington was one of the largest state affiliates of the SPA in the Western United States, touting a membership which peaked with more than 6,200 paid members. The Socialist Party of Washington is remembered today for its place in the free speech fights of the first decade of the 20th century, during which it was closely connected with the Industrial Workers of the World. It was also the organizational home of a number of key leaders of the early Communist Party of America."
1210,"During the Second World War Defence Regulations were a fundamental aspect of everyday life in the United Kingdom.
They were emergency regulations passed on the outbreak of war and during it to give the government emergency powers to prosecute the war. Two Acts of Parliament were passed as enabling legislation to allow the Defence Regulations to be promulgated. The first was the Emergency Powers (Defence) Act 1939, which was passed immediately before war was declared, and the second was the Emergency Powers (Defence) Act 1940, which was passed in the aftermath of the German attack on France in 1940. The 1940 Act allowed Defence Regulations to be made on matters such as industrial conscription.
The main Defence Regulations were the Defence (General) Regulations 1939, which were amended at various points throughout the war. Other Defence Regulations covered narrower fields of life. These included Defence Regulation 18B, which provided a framework for internment.
The Defence Regulations were Orders in Council and could amend any primary or secondary legislation within the limits of the enabling Acts to allow the effective prosecution of the war. Since the emergency conditions created by the war persisted after the conflict was over, the last of the Defence Regulations, mainly those on food rationing, were not abolished until the early 1950s."
